A,B,C,G,R,X6,X8,Class
7,903.57,789.74,61.24,1437,77.9402,0.1785,B
7,886.8,779.74,61.24,1095,75.4338,0.1819,B
6,896.26,779.74,61.88,956,77.3013,0.2092,B
5,912.92,849.72,61.88,920,95.4348,0.1767,B
6,884.39,799.73,61.88,835,87.7844,0.212,B
6,861.23,799.73,65.24,774,80.2326,0.2111,B
7,863.77,819.73,65.96,580,92.069,0.2171,B
8,850.63,759.75,64.54,1168,62.1575,0.2138,B
7,839.11,759.75,64.54,910,58.7912,0.2167,B
7,847.36,779.74,65.24,582,86.4261,0.2083,B
5,856.68,799.73,65.24,608,80.2632,0.2122,B
8,875.02,799.73,63.85,923,83.9653,0.2143,B
7,895.95,839.72,63.85,553,96.2025,0.1744,B
7,875.65,789.74,64.54,434,74.6544,0.2141,B
5,869.71,789.74,62.52,995,78.2915,0.2156,B
6,874.86,739.75,60.63,2298,46.9539,0.1732,B
7,871.9,739.75,60.63,1759,49.5168,0.1434,B
7,860.34,779.74,64.54,767,89.0482,0.1816,B
6,879.71,779.74,44.79,5211,80.119,0.2067,B
6,915.82,829.72,44.79,5477,77.725,0.2113,B
7,908.41,859.71,62.52,678,79.2035,0.1776,B
7,910.02,859.71,61.88,855,59.7661,0.2127,B
7,919.36,859.71,61.24,922,70.8243,0.2175,B
7,926.69,869.71,60.63,831,90.8544,0.1799,B
8,926.14,869.71,60.02,800,82.5,0.2438,B
7,888.45,709.76,60.02,1184,77.7027,0.21100000000000002,B
9,744.23,599.8,63.18,975,48.1026,0.2475,B
9,758.13,599.8,63.85,2596,47.6888,0.1783,B
5,889.38,739.75,62.52,1353,72.7273,0.1814,B
8,917.76,859.71,60.63,833,75.5102,0.1757,B
7,892.2,759.75,62.52,1353,59.3496,0.2102,B
6,903.7,759.75,60.63,1568,45.2806,0.2213,B
6,955.89,899.7,58.27,872,91.2844,0.2165,B
7,906.47,629.79,60.02,3962,36.7239,0.2135,B
9,797.51,589.8,42.57,28102,76.2223,0.2438,B
9,741.59,469.84,42.57,14492,78.5882,0.2839,B
8,774.34,469.84,61.88,1693,65.1506,0.1745,B
8,859.71,679.77,63.18,2428,51.6063,0.1762,B
6,910.99,829.72,63.18,733,92.4966,0.1771,B
6,927.36,859.71,60.02,866,81.2933,0.1797,B
7,939.02,859.71,60.02,936,86.3248,0.1775,B
8,869.09,729.76,59.43,1523,60.0131,0.1798,B
6,888.09,729.76,58.84,2587,60.6881,0.1816,B
7,958.3,869.71,57.71,1325,93.8868,0.1799,B
7,962.35,869.71,58.27,1455,92.3024,0.1732,B
6,974.85,889.7,58.27,1318,88.7709,0.1769,B
6,897.77,499.83,57.71,7605,45.286,0.2156,B
8,722.07,499.83,45.47,26976,64.1422,0.1776,B
11,631.57,489.84,45.47,31567,90.6136,0.2111,B
10,570.4,479.84,54.07,4792,59.1194,0.275,B
10,552.86,349.88,57.16,9202,89.7196,0.3539,B
10,656.62,349.88,37.99,73439,69.2793,0.2405,B
12,728.28,329.89,37.99,78603,76.8889,0.2035,B
12,786.69,329.89,40.28,49413,52.7128,0.1658,B
12,735.51,419.86,40.28,17119,77.6973,0.1648,B
11,692.7,369.88,43.18,19903,85.2233,0.2465,B
9,652.51,369.88,63.18,3120,78.3333,0.2786,B
9,688.55,559.81,71.45,1400,33.3571,0.248,B
8,819.16,679.77,68.2,553,50.4521,0.27899999999999997,B
9,828.84,689.77,65.24,968,51.6529,0.2129,B
7,842.37,749.75,38.47,14363,68.3771,0.2095,B
7,810.02,659.78,38.47,16635,72.5338,0.1411,B
8,790.01,659.78,69.79,1200,61.0,0.21100000000000002,B
8,803.62,749.75,69.79,722,84.072,0.2074,B
9,787.79,619.79,68.99,1429,36.3191,0.2116,B
7,796.4,619.79,68.99,1587,49.6534,0.2093,B
9,801.73,589.8,65.96,1276,53.9185,0.2138,B
7,826.2,589.8,65.24,1101,73.3878,0.1424,B
7,862.14,779.74,65.24,748,73.3957,0.1406,B
7,855.17,749.75,65.24,678,47.0501,0.1772,B
6,830.9,689.77,66.69,1256,52.6274,0.177,B
8,805.45,689.77,68.99,1308,32.263000000000005,0.2128,B
7,800.57,719.76,68.99,681,75.1836,0.2082,B
7,778.39,659.78,68.99,1121,66.9045,0.2083,B
10,683.92,599.8,72.31,1584,30.4293,0.2853,B
10,680.49,599.8,74.1,867,36.4475,0.14,B
7,782.79,639.79,65.96,2246,23.4194,0.2129,B
7,828.25,699.77,65.96,1949,39.1483,0.2131,B
7,822.37,699.77,64.54,1667,28.0744,0.2146,B
7,816.3,679.77,64.54,1842,16.5581,0.175,B
7,820.9,729.76,67.44,708,73.1638,0.1791,B
8,815.44,769.74,68.99,410,74.1463,0.1402,B
8,804.59,759.75,69.79,321,79.7508,0.2131,B
8,792.88,739.75,70.61,596,60.5705,0.2162,B
6,775.85,679.77,70.61,822,54.7445,0.2148,B
8,764.22,679.77,71.45,737,78.9688,0.2066,B
8,796.4,709.76,69.79,776,43.6856,0.1744,B
7,823.84,789.74,69.79,366,56.0109,0.1785,B
7,812.87,729.76,68.99,437,78.4897,0.2109,B
7,785.02,729.76,70.61,503,69.5825,0.2123,B
8,796.31,729.76,68.99,403,77.6675,0.2153,B
8,764.48,629.79,68.99,1236,37.2977,0.2065,B
7,724.12,619.79,70.61,848,87.0283,0.1771,B
8,774.74,619.79,67.44,1473,62.5255,0.1434,B
6,812.3,719.76,67.44,1062,49.435,0.1759,B
9,798.34,699.77,68.99,930,52.9032,0.2088,B
7,801.73,699.77,68.99,861,79.3264,0.1782,B
7,782.24,669.78,68.99,1059,38.6213,0.1776,B
9,784.46,669.78,65.24,2164,19.4547,0.1416,B
7,840.31,679.77,64.54,2674,43.9043,0.175,B
7,857.29,769.74,64.54,1672,85.2871,0.1767,B
9,850.63,799.73,65.96,901,85.6826,0.1781,B
8,838.84,759.75,66.69,669,85.7997,0.1753,B
8,844.13,799.73,68.2,455,93.8462,0.1742,B
8,789.18,679.77,68.2,534,52.809,0.2112,B
9,766.77,679.77,68.2,1375,37.3091,0.1762,B
7,816.01,689.77,67.44,1767,65.7046,0.1751,B
8,803.45,659.78,67.44,1442,38.835,0.1778,B
8,801.73,659.78,68.2,1092,52.4725,0.1782,B
6,842.37,779.74,67.44,607,91.1038,0.1746,B
7,843.96,799.73,66.69,602,79.0698,0.1795,B
9,792.59,689.77,66.69,884,62.1041,0.1802,B
9,796.88,689.77,65.96,1388,49.2795,0.2868,B
8,844.87,759.75,65.96,575,51.4783,0.2511,B
8,832.08,759.75,66.69,1048,49.3321,0.1767,B
9,826.78,779.74,67.44,758,72.8232,0.1779,B
7,807.16,709.76,68.2,1051,46.431999999999995,0.2124,B
7,756.59,629.79,71.45,1343,32.1668,0.1391,B
8,763.53,629.79,68.99,1097,66.2716,0.1416,B
9,809.73,719.76,68.2,959,68.7174,0.1453,B
8,840.02,759.75,66.69,666,89.7898,0.1804,B
7,864.71,759.75,63.85,829,88.0579,0.1807,B
7,873.35,819.73,63.85,551,90.7441,0.1735,B
8,834.43,719.76,66.69,791,66.6245,0.2115,B
8,804.59,719.76,68.99,774,45.3488,0.2486,B
8,819.44,729.76,68.99,859,61.5832,0.1743,B
8,831.19,749.75,67.44,702,53.1339,0.1769,B
8,844.87,789.74,67.44,478,59.6234,0.1793,B
6,852.14,779.74,65.24,391,65.4731,0.2134,B
7,864.56,779.74,65.24,371,64.69,0.2103,B
7,870.96,799.73,64.54,461,65.2928,0.2153,B
7,874.08,799.73,62.52,1106,60.1266,0.1788,B
7,894.08,819.73,62.52,839,56.1383,0.1748,B
8,872.74,799.73,63.18,685,48.3212,0.2083,B
7,856.08,799.73,65.96,417,53.9568,0.2478,B
7,848.2,689.77,65.24,1419,34.4609,0.1786,B
7,777.52,679.77,67.44,698,38.9685,0.2501,B
7,802.59,679.77,66.69,1128,72.2518,0.17800000000000002,B
8,806.3,669.78,66.69,1379,47.7883,0.1772,B
7,804.59,669.78,67.44,1213,45.5894,0.2131,B
6,847.07,769.74,65.24,844,54.0284,0.2083,B
7,870.01,789.74,63.18,867,59.5156,0.1742,B
7,873.77,759.75,63.18,791,47.7876,0.1788,B
8,861.28,759.75,64.54,1053,41.4055,0.2177,B
7,875.65,799.73,64.54,709,62.6234,0.1784,B
7,866.07,709.76,63.18,1722,19.9768,0.2099,B
8,832.37,709.76,63.18,1433,48.5694,0.2473,B
8,830.02,739.75,64.54,1257,75.6563,0.1772,B
7,824.14,769.74,66.69,730,78.3562,0.2141,B
7,832.96,769.74,65.96,785,81.7834,0.1766,B
