A,B,C,G,R,X6,X8
10,638.23,589.8,88.26,108,25.9259,0.3482
11,636.23,589.8,82.22,163,27.6074,0.2445
11,617.84,579.81,82.22,131,35.8779,0.1407
13,621.71,579.81,49.6,6952,63.2768,0.1711
12,640.01,579.81,48.02,13966,88.60799999999999,0.2083
10,620.88,579.81,48.02,8753,72.6265,0.1751
12,603.97,559.81,93.78,169,28.9941,0.138
17,605.97,559.81,88.26,342,30.4094,0.1756
16,622.9,579.81,88.26,244,50.0,0.2854
12,641.12,599.8,75.97,866,36.7206,0.1386
12,655.46,599.8,78.97,477,18.6583,0.1387
12,643.65,609.8,78.97,550,38.7273,0.1412
11,614.48,589.8,90.94,113,29.2035,0.1731
13,623.49,589.8,89.58,98,39.7959,0.3487
16,624.79,589.8,89.58,158,62.6582,0.2784
15,595.52,349.88,69.79,1516,66.029,0.3084
17,595.63,349.88,50.44,8219,66.6991,0.1749
13,618.49,549.82,50.44,6965,69.2175,0.1406
10,630.01,549.82,81.11,557,29.0844,0.3451
11,678.61,569.81,44.79,14286,77.6844,0.3084
15,678.02,549.82,44.79,36055,68.1459,0.2581
15,633.12,549.82,61.88,4702,66.2484,0.1504
13,644.1,559.81,63.18,2293,46.7074,0.1764
11,655.92,619.79,83.36,477,35.2201,0.1386
11,621.97,559.81,85.74,261,44.0613,0.1398
13,618.49,559.81,85.74,101,29.703000000000003,0.1406
11,665.59,609.8,82.22,186,16.6667,0.1398
12,674.78,609.8,82.22,251,35.8566,0.1411
12,692.94,609.8,62.52,1860,71.3441,0.17600000000000002
11,719.51,619.79,62.52,3150,69.2063,0.1737
13,685.01,609.8,70.61,1505,59.0698,0.1738
20,654.55,589.8,83.36,456,51.3158,0.1736
17,646.01,579.81,82.22,751,22.7696,0.1376
12,673.58,579.81,65.24,2448,30.433000000000003,0.1767
13,675.36,599.8,65.24,2391,23.8394,0.1377
19,646.6,599.8,83.36,575,20.3478,0.3163
16,658.42,599.8,77.95,541,56.3771,0.1726
12,668.61,619.79,77.95,810,41.2346,0.2087
12,677.16,619.79,78.97,581,39.4148,0.1406
9,671.17,619.79,81.11,412,52.6699,0.1386
12,669.08,629.79,82.22,358,71.2291,0.1738
15,673.82,639.79,82.22,488,78.6885,0.1767
14,660.69,609.8,82.22,253,55.7312,0.3096
16,647.34,599.8,84.54,325,29.2308,0.1716
16,653.65,599.8,84.54,388,16.7526,0.1391
13,663.03,619.79,84.54,370,31.0811,0.1754
16,657.74,589.8,84.54,576,53.125,0.2073
18,662.1,589.8,84.54,575,30.9565,0.1756
14,671.92,619.79,84.54,191,29.8429,0.3544
12,676.02,649.78,84.54,79,49.3671,0.2219
16,667.03,599.8,82.22,309,72.8155,0.1874
21,646.38,599.8,82.22,314,59.5541,0.1406
23,652.28,609.8,83.36,181,22.6519,0.2091
22,671.87,619.79,76.95,391,29.9233,0.2077
21,693.34,619.79,74.1,1344,9.4494,0.20600000000000002
20,713.01,639.79,74.1,1253,9.8962,0.1403
20,663.03,349.88,75.97,1745,57.4212,0.1754
19,652.51,349.88,76.95,1581,73.6875,0.1742
19,684.77,609.8,80.03,460,63.4783,0.1391
23,668.35,619.79,82.22,159,70.4403,0.1425
22,663.5,619.79,83.36,131,42.7481,0.2804
23,672.57,619.79,78.97,394,42.3858,0.1729
23,681.92,629.79,78.97,541,47.3198,0.1397
22,678.11,629.79,80.03,511,18.1996,0.1404
20,664.43,619.79,80.03,274,28.8321,0.21
19,670.94,619.79,83.36,133,32.3308,0.20800000000000002
16,684.77,659.78,83.36,82,39.0244,0.1739
18,680.7,359.88,78.97,216,34.7222,0.205
21,701.72,629.79,78.97,293,17.0648,0.139
21,700.01,649.78,81.11,275,27.2727,0.1394
25,666.99,579.81,80.03,477,25.7862,0.1395
26,641.34,579.81,80.03,378,16.4021,0.2772
22,635.34,559.81,82.22,491,43.5845,0.3498
14,645.69,559.81,82.22,624,26.4423,0.1408
16,655.64,359.88,81.11,391,26.087,0.1488
23,678.31,599.8,81.11,236,38.5593,0.1798
24,703.67,679.77,81.11,45,31.1111,0.312
24,708.54,679.77,81.11,84,19.0476,0.3442
23,698.58,359.88,82.22,48,62.5,0.1704
23,707.81,689.77,81.11,53,30.1887,0.2412
25,693.91,619.79,81.11,319,11.2853,0.24600000000000002
23,701.52,619.79,65.96,1191,48.0269,0.1426
22,733.35,669.78,65.96,874,70.0229,0.1399
23,721.01,689.77,76.95,376,23.1383,0.3121
24,702.45,679.77,82.22,36,61.1111,0.1736
22,694.65,639.79,83.36,124,25.0,0.1756
23,656.14,589.8,83.36,339,56.6372,0.1386
24,656.29,589.8,80.03,297,59.596000000000004,0.2481
17,698.06,659.78,77.95,189,46.5608,0.1398
11,690.26,659.78,82.22,126,57.9365,0.212
11,677.63,659.78,84.54,70,31.4286,0.2108
12,673.73,619.79,81.11,274,8.0292,0.3107
19,670.01,619.79,81.11,320,15.3125,0.1388
18,679.54,609.8,81.11,209,75.1196,0.1752
13,704.89,609.8,75.97,285,55.4386,0.17300000000000001
14,743.44,689.77,61.24,1549,37.1207,0.1416
11,743.17,669.78,61.24,1831,46.8596,0.1771
16,707.51,639.79,78.97,204,18.6275,0.1413
12,703.42,639.79,80.03,231,6.4935,0.2427
8,708.51,659.78,81.11,76,43.4211,0.3529
14,690.01,359.88,82.22,284,15.1408,0.2761
16,680.73,589.8,77.95,473,39.5349,0.2798
13,690.26,589.8,77.95,425,37.6471,0.3534
10,694.16,659.78,80.03,190,35.2632,0.1405
10,678.82,659.78,85.74,41,65.8537,0.1403
8,700.74,659.78,68.99,667,62.5187,0.2088
12,700.74,559.81,68.99,763,71.9528,0.2088
18,671.68,559.81,78.97,433,45.9584,0.1418
20,678.82,619.79,82.22,213,24.4131,0.3508
20,689.06,659.78,82.22,66,42.4242,0.3455
20,686.68,649.78,83.36,48,50.0,0.2427
22,672.1,629.79,83.36,190,34.7368,0.2768
23,659.08,609.8,82.22,512,32.2266,0.1764
19,647.97,609.8,82.22,210,53.3333,0.1403
14,666.52,609.8,81.11,169,29.5858,0.2094
10,687.09,649.78,81.11,90,35.5556,0.142
15,692.63,659.78,83.36,32,59.375,0.1719
21,700.74,689.77,83.36,27,40.7407,0.174
20,705.51,689.77,83.36,24,50.0,0.3544
21,701.72,649.78,82.22,67,71.6418,0.3128
17,687.87,649.78,82.22,74,74.3243,0.2769
15,678.35,369.88,66.69,2154,78.4123,0.3159
16,661.87,319.89,66.69,4237,82.7236,0.3162
14,673.03,319.89,76.95,2752,63.4084,0.1728
11,718.26,349.88,42.27,22585,79.6148,0.2785
11,765.15,449.85,41.11,11589,51.5834,0.1413
10,750.54,689.77,41.11,12629,63.9401,0.1753
9,681.59,319.89,76.95,2145,49.5571,0.1334
14,700.2,569.81,73.2,667,57.7211,0.3106
23,685.03,619.79,73.2,821,54.6894,0.1537
25,675.25,619.79,81.11,225,17.3333,0.3526
24,691.23,609.8,65.24,1870,55.8824,0.247
24,705.37,609.8,65.24,1850,57.8378,0.2766
24,730.53,659.78,67.44,985,47.2081,0.2457
24,721.26,639.79,75.03,402,43.2836,0.1733
24,702.45,639.79,76.95,497,21.7304,0.1389
24,700.0,649.78,76.95,316,30.0633,0.1361
25,673.58,619.79,76.95,462,30.303,0.1414
26,661.82,619.79,84.54,275,17.4545,0.20600000000000002
24,658.87,599.8,78.97,367,29.9728,0.1725
15,688.31,599.8,78.97,390,33.5897,0.1772
13,715.01,649.78,80.03,165,41.8182,0.1399
21,659.1,579.81,80.03,166,77.7108,0.1724
21,663.5,579.81,81.11,197,30.4569,0.1753
15,701.52,669.78,81.11,81,53.0864,0.1426
20,690.75,659.78,82.22,105,48.5714,0.1766
23,690.25,659.78,83.36,97,39.1753,0.1725
22,698.79,659.78,80.03,339,15.9292,0.1396
20,707.57,659.78,73.2,355,50.7042,0.2068
23,710.01,679.77,73.2,324,58.0247,0.2113
22,702.2,659.78,81.11,93,45.1613,0.3126
23,692.86,629.79,78.97,584,27.5685,0.2405
23,690.75,629.79,78.97,968,18.2851,0.3178
19,686.11,629.79,78.97,469,8.5288,0.3555
20,659.1,589.8,84.54,233,65.2361,0.2069
22,622.77,359.88,64.54,1183,68.3009,0.205
21,638.23,359.88,64.54,866,87.5289,0.2786
24,671.17,629.79,85.74,130,62.3077,0.2772
23,693.18,649.78,74.1,194,84.5361,0.1407
20,724.01,659.78,74.1,526,38.403,0.1727
19,705.86,609.8,75.03,639,21.9092,0.1728
24,660.71,599.8,80.03,138,63.0435,0.17600000000000002
24,672.8,609.8,80.03,311,36.6559,0.1383
18,697.08,659.78,80.03,133,69.1729,0.2449
22,669.78,349.88,83.36,271,41.3284,0.1357
17,686.6,609.8,77.95,348,35.6322,0.1421
14,718.73,679.77,77.95,138,76.8116,0.2854
19,726.42,679.77,75.97,310,30.9677,0.353
24,673.41,349.88,75.97,610,29.8361,0.2362
22,687.33,609.8,71.45,603,36.1526,0.2129
17,746.07,669.78,71.45,356,51.9663,0.3175
18,739.75,669.78,74.1,271,38.0074,0.1386
20,745.8,649.78,60.63,2045,74.4254,0.1764
22,707.57,609.8,60.63,1717,79.2662,0.1724
22,671.2,599.8,77.95,970,23.299,0.1419
12,724.89,629.79,76.95,561,13.5472,0.1415
11,735.25,379.87,76.95,120,31.6667,0.136
18,732.83,699.77,77.95,108,37.963,0.2449
24,687.15,619.79,80.03,116,41.3793,0.3465
24,673.58,619.79,76.95,339,63.4218,0.1767
22,701.72,659.78,76.95,400,58.5,0.3476
21,712.33,659.78,78.97,282,62.4113,0.36
22,709.51,659.78,78.97,203,60.0985,0.3524
21,715.66,659.78,69.79,892,90.0224,0.2508
21,736.68,669.78,67.44,1166,70.9262,0.2088
23,707.57,639.79,67.44,770,50.2597,0.1379
23,681.17,369.88,72.31,1113,46.7206,0.1366
24,670.24,609.8,72.31,808,52.7228,0.34700000000000003
26,656.06,589.8,73.2,710,39.8592,0.1418
24,675.25,579.81,45.82,10582,48.1572,0.2116
22,680.96,579.81,45.82,10190,52.6202,0.1748
23,685.96,649.78,78.97,382,37.6963,0.3471
21,688.34,659.78,78.97,173,48.5549,0.3459
18,696.6,669.78,75.97,253,50.1976,0.3501
16,703.52,679.77,74.1,323,47.3684,0.3198
19,677.72,329.89,45.13,4151,86.4611,0.1135
24,657.59,329.89,45.13,13898,62.9443,0.2226
24,721.04,609.8,57.71,2960,32.0946,0.1422
24,686.91,579.81,68.99,1001,57.5425,0.3466
24,658.87,579.81,82.22,581,19.9656,0.138
22,669.08,599.8,82.22,154,70.7792,0.139
23,666.99,599.8,83.36,259,59.4595,0.1395
22,682.39,649.78,82.22,158,51.8987,0.2094
22,691.23,649.78,81.11,274,72.9927,0.1411
26,686.44,649.78,81.11,278,48.5612,0.2428
24,683.11,649.78,83.36,198,25.7576,0.3137
25,684.77,659.78,83.36,87,49.4253,0.1391
25,681.2,659.78,82.22,124,31.4516,0.2447
26,697.82,659.78,73.2,364,60.1648,0.2796
24,693.58,649.78,73.2,361,58.7258,0.2746
26,665.23,359.88,81.11,172,63.9535,0.1367
26,681.63,599.8,48.02,6590,71.3657,0.2388
26,690.99,599.8,48.02,7207,68.8775,0.2118
24,694.53,629.79,78.97,289,40.8304,0.3428
25,695.13,659.78,81.11,197,27.4112,0.1754
25,683.49,609.8,81.11,325,43.3846,0.1701
20,600.63,499.83,82.22,514,43.1907,0.1387
18,565.97,499.83,95.27,104,52.8846,0.1699
22,597.93,549.82,93.78,204,19.6078,0.1394
19,621.07,579.81,89.58,358,17.3184,0.13699999999999998
16,638.01,589.8,84.54,472,19.4915,0.2438
16,639.34,589.8,84.54,374,36.8984,0.139
17,636.45,609.8,90.94,145,33.7931,0.3492
16,638.42,599.8,85.74,438,20.7763,0.17800000000000002
15,645.69,599.8,83.36,707,7.2136,0.17600000000000002
15,642.74,599.8,83.36,307,14.3322,0.3536
21,620.23,579.81,88.26,235,35.7447,0.1402
19,614.05,579.81,86.99,273,25.2747,0.2079
15,614.26,579.81,86.99,577,12.305,0.1732
14,603.55,569.81,90.94,307,12.0521,0.2071
14,602.57,569.81,88.26,307,26.3844,0.2119
13,610.65,579.81,88.26,340,28.8235,0.1394
12,604.05,569.81,90.94,256,21.4844,0.1409
11,593.14,569.81,93.78,135,32.5926,0.1405
10,603.76,569.81,92.34,165,12.7273,0.1725
11,597.15,559.81,92.34,260,16.5385,0.2051
10,598.34,559.81,92.34,365,13.4247,0.1393
9,608.95,569.81,85.74,646,17.6471,0.2096
10,625.01,569.81,51.3,5372,74.1065,0.1391
11,618.49,569.81,51.3,5521,74.8596,0.1406
10,600.01,569.81,95.27,295,18.3051,0.1736
10,596.74,569.81,95.27,186,24.1935,0.171
11,593.76,559.81,89.58,419,16.4678,0.1754
11,605.54,559.81,82.22,627,42.2648,0.1405
11,614.36,559.81,82.22,421,29.4537,0.1769
13,614.48,579.81,90.94,148,60.8108,0.1385
11,611.32,589.8,93.78,100,37.0,0.1422
11,611.71,579.81,89.58,269,12.6394,0.2087
10,601.93,559.81,90.94,158,44.3038,0.1414
12,593.76,539.82,89.58,450,30.6667,0.1754
11,598.76,539.82,89.58,601,26.9551,0.1392
11,600.42,549.82,92.34,326,14.1104,0.34700000000000003
10,602.3,569.81,92.34,188,35.6383,0.1384
11,596.68,539.82,93.78,221,14.4796,0.3492
11,597.3,539.82,93.78,281,29.8932,0.1744
11,600.65,559.81,90.94,542,27.6753,0.1417
11,613.27,559.81,84.54,703,33.8549,0.1418
11,619.79,569.81,84.54,689,30.479,0.1373
10,622.18,579.81,85.74,507,19.1321,0.1398
12,598.34,309.9,85.74,1092,71.0623,0.1393
13,595.84,309.9,68.99,2652,62.2549,0.1748
10,623.05,529.82,68.99,1236,67.8803,0.1396
10,616.18,569.81,90.94,339,29.2035,0.1727
10,628.7,559.81,50.44,5381,62.7764,0.2766
12,599.54,309.9,50.44,9515,52.0652,0.1756
12,531.73,309.9,70.61,5903,47.4335,0.1343
16,536.61,319.89,57.71,11716,69.4606,0.1758
17,563.41,329.89,54.56,18738,66.4532,0.284
18,571.01,309.9,55.06,18131,20.6773,0.1751
19,598.74,309.9,45.47,39667,62.8079,0.2488
18,560.41,309.9,45.47,34510,86.5894,0.2498
15,551.16,309.9,40.01,48397,62.8882,0.1745
14,597.72,309.9,40.01,55757,51.8034,0.3486
17,571.65,309.9,51.3,35867,54.8833,0.3213
20,539.44,309.9,53.59,19998,66.4916,0.3498
18,545.78,319.89,53.59,11512,89.9844,0.1409
19,515.01,309.9,66.69,8381,91.7432,0.1798
19,516.86,309.9,41.39,39766,62.4,0.2866
19,527.08,319.89,41.39,59913,79.547,0.2604
20,547.07,309.9,46.53,30437,84.2889,0.2867
18,522.23,309.9,54.56,12421,80.0258,0.2128
16,543.97,309.9,43.81,24352,71.5218,0.2081
19,595.01,309.9,38.23,41172,61.8576,0.2101
18,661.54,309.9,38.23,66261,36.2687,0.2223
18,581.68,359.88,47.63,43015,33.579,0.1612
15,511.5,309.9,61.24,4418,77.9312,0.3259
14,512.81,479.84,61.24,2834,73.6062,0.1368
12,516.26,479.84,62.52,2357,25.1167,0.1384
13,513.04,459.85,62.52,2484,24.7585,0.1392
14,514.47,459.85,60.02,3366,32.3827,0.1388
11,516.43,469.84,60.02,3357,32.6184,0.1383
12,498.82,459.85,113.25,12,66.6667,0.3398
10,502.94,459.85,113.25,54,35.1852,0.3428
12,517.65,489.84,107.18,69,13.0435,0.1756
12,532.42,499.83,57.16,3953,70.1493,0.1391
11,524.37,499.83,109.13,49,24.4898,0.3467
11,524.55,509.83,109.13,15,53.3333,0.1733
11,521.83,499.83,111.15,14,35.7143,0.2439
13,519.11,499.83,113.25,15,26.6667,0.344
12,513.16,479.84,113.25,10,40.0,0.2051
10,508.78,479.84,113.25,9,55.5556,0.3448
12,517.68,499.83,58.84,3547,68.6496,0.138
13,515.01,499.83,58.84,3570,68.7675,0.1387
12,504.04,349.88,90.94,76,93.4211,0.3133
14,507.9,349.88,90.94,74,95.9459,0.3109
8,794.18,619.79,63.85,2049,42.655,0.2448
10,788.35,669.78,62.52,3008,23.8364,0.1409
10,865.17,679.77,58.84,2442,25.1433,0.3152
11,837.66,349.88,56.62,7766,86.5182,0.2458
11,757.86,349.88,56.62,6091,83.8122,0.1783
9,757.04,469.84,63.18,2147,44.0615,0.35700000000000004
10,741.81,389.87,60.63,4899,83.3844,0.11900000000000001
10,747.99,389.87,60.63,4581,82.73299999999999,0.3146
10,803.16,659.78,65.24,2537,48.6795,0.1423
9,794.31,659.78,61.24,3180,43.1132,0.2518
7,858.5,659.78,50.86,3835,60.4954,0.1412
9,896.03,749.75,50.86,3035,57.7924,0.1488
10,877.37,749.75,57.71,2246,58.504,0.19
9,910.34,819.73,60.63,1180,83.4746,0.2835
7,916.69,809.73,56.62,2667,72.7034,0.1455
8,975.19,809.73,51.74,4821,57.457,0.2475
8,993.81,879.71,51.74,3701,62.0103,0.2429
7,967.26,879.71,52.65,2190,76.62100000000001,0.1426
8,930.36,839.72,56.62,1694,68.0047,0.3225
8,900.02,809.73,60.02,1175,38.6383,0.2151
9,902.92,809.73,60.02,935,61.3904,0.2858
8,904.86,839.72,59.43,1266,63.1912,0.2852
7,907.44,769.74,56.09,2310,58.2684,0.2133
8,896.48,769.74,60.63,1746,56.8729,0.2879
8,896.58,809.73,57.71,1594,49.5609,0.2091
9,791.4,379.87,57.71,3406,51.1157,0.2106
9,808.3,379.87,55.57,4762,56.9089,0.1414
7,976.92,699.77,55.57,4269,61.278999999999996,0.2118
7,994.31,879.71,55.06,3258,92.4494,0.2514
5,1005.38,909.7,54.07,3233,95.5769,0.2487
8,1031.14,909.7,50.02,3030,91.0891,0.2155
7,1048.11,909.7,50.02,2582,71.495,0.1468
6,1025.58,909.7,54.56,1475,76.4068,0.2528
6,1017.52,889.7,53.12,1712,73.8902,0.2457
7,1032.25,889.7,53.12,2673,71.4179,0.2512
6,1051.19,919.69,50.86,3316,79.9457,0.2561
7,1075.41,949.68,50.86,2173,89.0934,0.2504
5,1051.13,909.7,51.3,2789,59.7705,0.2467
6,1048.54,939.69,51.3,2439,65.2727,0.2473
5,1036.58,919.69,53.59,2434,76.3353,0.2597
6,1016.09,549.82,50.86,9529,71.3086,0.1757
5,1038.17,549.82,47.26,11909,79.738,0.1784
5,1121.29,999.67,44.13,4055,76.7941,0.1858
6,1074.64,909.7,44.13,5033,72.3425,0.2505
6,1037.8,899.7,50.02,5883,92.0959,0.2141
6,1055.2,899.7,50.44,3944,94.3966,0.2106
6,1059.65,889.7,48.8,3398,92.3779,0.2178
7,1052.73,889.7,48.8,4024,94.7068,0.1827
8,1068.49,899.7,48.02,4458,67.0704,0.21600000000000003
7,1031.88,869.71,48.8,6854,59.5856,0.1795
6,1018.23,379.87,48.8,17481,70.7568,0.1403
7,1018.92,379.87,50.02,32098,85.725,0.3272
6,1062.34,879.71,47.26,6796,78.5021,0.2172
4,1056.57,899.7,47.26,2919,60.5002,0.2184
7,1070.03,899.7,46.53,3999,63.7909,0.2157
6,1113.23,959.68,46.53,5720,50.0175,0.2156
7,1106.03,929.69,48.02,4947,54.5179,0.1808
9,982.43,329.89,46.17,24391,54.1019,0.2106
8,940.35,329.89,46.17,27783,53.1332,0.319
6,987.88,569.81,48.8,20861,80.1639,0.1446
5,1026.32,819.73,49.6,3796,54.7682,0.2526
6,1088.04,959.68,49.6,2459,63.5218,0.2574
7,1086.04,939.69,50.02,2743,83.9956,0.2578
