A,B,C,G,R,X6,X8
7,714.01,589.8,72.31,3004,13.2823,0.1401
7,786.96,589.8,66.69,2746,52.4399,0.1412
6,835.02,749.75,66.69,1031,69.8351,0.1409
6,790.85,689.77,66.69,894,67.8971,0.1405
8,760.8,669.78,71.45,1218,57.9639,0.17300000000000001
10,796.4,699.77,67.44,814,78.0098,0.1395
8,818.26,749.75,67.44,492,89.0244,0.1438
8,816.87,739.75,68.2,681,70.0441,0.1749
7,746.16,629.79,68.2,806,91.9355,0.1375
9,706.26,629.79,75.03,579,61.3126,0.177
7,760.83,669.78,70.61,949,64.9104,0.1421
8,799.18,739.75,70.61,679,73.0486,0.1738
8,796.12,729.76,68.2,1139,54.6971,0.1745
7,771.96,659.78,70.61,869,46.3751,0.1439
8,773.8,659.78,68.99,841,66.7063,0.1397
7,778.93,709.76,68.99,1004,92.0319,0.1735
7,780.02,729.76,72.31,434,91.2442,0.1425
8,760.02,689.77,73.2,509,54.224,0.1422
8,732.32,679.77,75.03,407,56.0197,0.1751
7,764.61,679.77,67.44,1544,44.3653,0.1414
7,784.74,669.78,67.44,1123,71.2378,0.177
7,761.33,669.78,71.45,978,33.7423,0.1728
9,735.65,639.79,71.45,807,62.8253,0.1743
8,720.27,639.79,75.03,892,77.13,0.17800000000000002
7,737.19,689.77,75.03,526,73.384,0.1391
8,726.42,639.79,75.03,823,22.2357,0.1412
8,751.85,639.79,72.31,858,57.1096,0.14
7,785.5,719.76,66.69,843,57.5326,0.1157
7,849.72,739.75,64.54,936,64.3162,0.1898
7,893.9,839.72,64.54,654,89.7554,0.2165
8,745.8,549.82,63.85,3683,20.9612,0.1764
10,553.15,399.87,69.79,3152,95.5584,0.319
11,487.34,399.87,69.79,4299,87.1365,0.2394
11,482.67,419.86,71.45,1379,88.76,0.2762
11,514.06,419.86,57.16,4258,61.2964,0.1496
12,556.62,479.84,92.34,393,32.3155,0.3058
12,595.52,519.83,85.74,1062,24.8588,0.2742
11,583.48,329.89,43.18,17951,91.9893,0.1749
8,586.34,329.89,43.18,17117,89.9223,0.174
10,639.79,509.83,43.81,25294,56.4047,0.1489
10,727.33,419.86,40.55,66691,71.5269,0.25
9,775.37,419.86,41.39,17383,84.3986,0.2418
11,790.01,369.88,65.96,3099,80.9939,0.1758
12,805.79,369.88,37.99,28925,87.0043,0.2633
10,788.22,409.86,39.23,22922,57.1765,0.1538
9,714.76,559.81,39.23,1545,58.123000000000005,0.1841
7,811.73,579.81,62.52,3189,33.2079,0.2112
7,910.99,829.72,62.52,900,55.4444,0.2125
7,875.33,809.73,62.52,591,74.6193,0.1785
6,849.41,809.73,67.44,496,82.2581,0.1784
7,864.56,809.73,65.24,545,75.7798,0.2103
6,857.21,809.73,65.24,613,56.4437,0.1823
7,810.3,689.77,67.44,1380,48.5507,0.1763
7,811.2,689.77,65.96,1380,40.1449,0.1813
7,848.2,779.74,65.96,1027,37.1957,0.1786
6,841.19,779.74,66.69,535,82.0561,0.1748
7,832.66,719.76,65.96,1180,61.6949,0.1766
7,802.59,669.78,65.96,1165,37.6824,0.1424
7,835.02,669.78,64.54,1957,53.7046,0.1761
7,875.96,819.73,63.85,627,78.4689,0.1784
7,883.77,819.73,63.85,716,66.7598,0.2122
7,863.05,749.75,64.54,838,50.5967,0.2107
8,837.07,719.76,65.96,942,62.4204,0.1757
5,862.74,779.74,65.24,943,61.5058,0.1756
6,872.21,819.73,65.24,705,79.7163,0.1791
7,874.4,829.72,65.24,540,89.4444,0.1787
6,889.39,829.72,64.54,489,92.229,0.2108
6,887.83,829.72,64.54,404,92.5743,0.2112
7,804.3,629.79,65.24,883,47.4519,0.2842
7,770.28,629.79,65.24,1625,28.2462,0.2456
7,812.3,699.77,65.24,1448,38.605,0.21100000000000002
6,860.93,739.75,63.18,1177,62.0221,0.17600000000000002
6,881.27,739.75,60.63,1779,32.6588,0.1418
7,880.64,709.76,60.63,2311,41.3674,0.2129
8,859.71,709.76,61.24,1948,38.9117,0.2115
7,883.9,799.73,62.52,974,81.5195,0.21899999999999997
8,926.69,839.72,60.02,1056,72.6326,0.1799
6,937.35,849.72,60.02,786,87.4046,0.1778
6,934.69,849.72,58.84,1022,86.0078,0.214
7,934.36,849.72,58.84,1526,95.675,0.2141
7,922.6,849.72,60.02,990,95.1515,0.2098
7,881.83,739.75,61.88,1647,48.9982,0.2062
7,814.3,709.76,63.85,1257,58.7908,0.1754
8,767.04,639.79,70.61,1377,31.4452,0.2114
8,784.6,639.79,61.88,2615,20.1147,0.1821
6,890.95,699.77,60.63,2567,37.9431,0.1754
6,895.64,739.75,60.63,1871,50.7215,0.1745
6,833.84,689.77,62.52,2658,33.5967,0.1764
7,817.73,689.77,65.24,1658,41.4355,0.1747
6,846.08,769.74,65.24,1058,75.8979,0.1791
7,873.15,829.72,64.54,316,85.443,0.2147
6,883.14,829.72,64.54,433,93.7644,0.1769
7,880.33,829.72,64.54,583,90.7376,0.1775
7,880.64,829.72,64.54,504,96.0317,0.1774
8,885.64,819.73,63.18,848,73.1132,0.2117
7,885.33,759.75,63.18,1029,69.3878,0.1765
7,850.32,719.76,63.85,1106,33.906,0.1782
7,848.54,759.75,66.69,682,69.5015,0.1733
6,861.23,809.73,65.24,522,87.931,0.1759
7,879.71,819.73,65.24,603,84.0796,0.1776
7,876.27,809.73,65.24,611,92.14399999999999,0.1783
8,863.35,799.73,65.96,521,85.6046,0.2106
6,870.96,799.73,65.24,427,75.1756,0.2153
6,890.03,839.72,63.18,715,76.0839,0.1812
7,892.2,839.72,63.18,733,52.6603,0.2102
7,885.33,809.73,62.52,795,65.6604,0.2118
7,870.65,809.73,62.52,1186,58.4317,0.2154
7,860.93,809.73,65.24,961,89.8023,0.17600000000000002
6,853.24,789.74,65.24,954,89.5178,0.1724
7,853.96,789.74,65.96,848,73.5849,0.2129
7,852.44,769.74,66.69,810,79.2593,0.2133
7,748.43,599.8,68.2,1389,30.0936,0.1406
6,766.97,599.8,62.52,2151,21.8968,0.1449
7,903.57,789.74,61.24,1437,77.9402,0.1785
7,886.8,779.74,61.24,1095,75.4338,0.1819
6,896.26,779.74,61.88,956,77.3013,0.2092
5,912.92,849.72,61.88,920,95.4348,0.1767
6,884.39,799.73,61.88,835,87.7844,0.212
6,861.23,799.73,65.24,774,80.2326,0.2111
7,863.77,819.73,65.96,580,92.069,0.2171
8,850.63,759.75,64.54,1168,62.1575,0.2138
7,839.11,759.75,64.54,910,58.7912,0.2167
7,847.36,779.74,65.24,582,86.4261,0.2083
5,856.68,799.73,65.24,608,80.2632,0.2122
8,875.02,799.73,63.85,923,83.9653,0.2143
7,895.95,839.72,63.85,553,96.2025,0.1744
7,875.65,789.74,64.54,434,74.6544,0.2141
5,869.71,789.74,62.52,995,78.2915,0.2156
6,874.86,739.75,60.63,2298,46.9539,0.1732
7,871.9,739.75,60.63,1759,49.5168,0.1434
7,860.34,779.74,64.54,767,89.0482,0.1816
6,879.71,779.74,44.79,5211,80.119,0.2067
6,915.82,829.72,44.79,5477,77.725,0.2113
7,908.41,859.71,62.52,678,79.2035,0.1776
7,910.02,859.71,61.88,855,59.7661,0.2127
7,919.36,859.71,61.24,922,70.8243,0.2175
7,926.69,869.71,60.63,831,90.8544,0.1799
8,926.14,869.71,60.02,800,82.5,0.2438
7,888.45,709.76,60.02,1184,77.7027,0.21100000000000002
9,744.23,599.8,63.18,975,48.1026,0.2475
9,758.13,599.8,63.85,2596,47.6888,0.1783
5,889.38,739.75,62.52,1353,72.7273,0.1814
8,917.76,859.71,60.63,833,75.5102,0.1757
7,892.2,759.75,62.52,1353,59.3496,0.2102
6,903.7,759.75,60.63,1568,45.2806,0.2213
6,955.89,899.7,58.27,872,91.2844,0.2165
7,906.47,629.79,60.02,3962,36.7239,0.2135
9,797.51,589.8,42.57,28102,76.2223,0.2438
9,741.59,469.84,42.57,14492,78.5882,0.2839
8,774.34,469.84,61.88,1693,65.1506,0.1745
8,859.71,679.77,63.18,2428,51.6063,0.1762
6,910.99,829.72,63.18,733,92.4966,0.1771
6,927.36,859.71,60.02,866,81.2933,0.1797
7,939.02,859.71,60.02,936,86.3248,0.1775
8,869.09,729.76,59.43,1523,60.0131,0.1798
6,888.09,729.76,58.84,2587,60.6881,0.1816
7,958.3,869.71,57.71,1325,93.8868,0.1799
7,962.35,869.71,58.27,1455,92.3024,0.1732
6,974.85,889.7,58.27,1318,88.7709,0.1769
6,897.77,499.83,57.71,7605,45.286,0.2156
8,722.07,499.83,45.47,26976,64.1422,0.1776
11,631.57,489.84,45.47,31567,90.6136,0.2111
10,570.4,479.84,54.07,4792,59.1194,0.275
10,552.86,349.88,57.16,9202,89.7196,0.3539
10,656.62,349.88,37.99,73439,69.2793,0.2405
12,728.28,329.89,37.99,78603,76.8889,0.2035
12,786.69,329.89,40.28,49413,52.7128,0.1658
12,735.51,419.86,40.28,17119,77.6973,0.1648
11,692.7,369.88,43.18,19903,85.2233,0.2465
9,652.51,369.88,63.18,3120,78.3333,0.2786
9,688.55,559.81,71.45,1400,33.3571,0.248
8,819.16,679.77,68.2,553,50.4521,0.27899999999999997
9,828.84,689.77,65.24,968,51.6529,0.2129
7,842.37,749.75,38.47,14363,68.3771,0.2095
7,810.02,659.78,38.47,16635,72.5338,0.1411
8,790.01,659.78,69.79,1200,61.0,0.21100000000000002
8,803.62,749.75,69.79,722,84.072,0.2074
9,787.79,619.79,68.99,1429,36.3191,0.2116
7,796.4,619.79,68.99,1587,49.6534,0.2093
9,801.73,589.8,65.96,1276,53.9185,0.2138
7,826.2,589.8,65.24,1101,73.3878,0.1424
7,862.14,779.74,65.24,748,73.3957,0.1406
7,855.17,749.75,65.24,678,47.0501,0.1772
6,830.9,689.77,66.69,1256,52.6274,0.177
8,805.45,689.77,68.99,1308,32.263000000000005,0.2128
7,800.57,719.76,68.99,681,75.1836,0.2082
7,778.39,659.78,68.99,1121,66.9045,0.2083
10,683.92,599.8,72.31,1584,30.4293,0.2853
10,680.49,599.8,74.1,867,36.4475,0.14
7,782.79,639.79,65.96,2246,23.4194,0.2129
7,828.25,699.77,65.96,1949,39.1483,0.2131
7,822.37,699.77,64.54,1667,28.0744,0.2146
7,816.3,679.77,64.54,1842,16.5581,0.175
7,820.9,729.76,67.44,708,73.1638,0.1791
8,815.44,769.74,68.99,410,74.1463,0.1402
8,804.59,759.75,69.79,321,79.7508,0.2131
8,792.88,739.75,70.61,596,60.5705,0.2162
6,775.85,679.77,70.61,822,54.7445,0.2148
8,764.22,679.77,71.45,737,78.9688,0.2066
8,796.4,709.76,69.79,776,43.6856,0.1744
7,823.84,789.74,69.79,366,56.0109,0.1785
7,812.87,729.76,68.99,437,78.4897,0.2109
7,785.02,729.76,70.61,503,69.5825,0.2123
8,796.31,729.76,68.99,403,77.6675,0.2153
8,764.48,629.79,68.99,1236,37.2977,0.2065
7,724.12,619.79,70.61,848,87.0283,0.1771
8,774.74,619.79,67.44,1473,62.5255,0.1434
6,812.3,719.76,67.44,1062,49.435,0.1759
9,798.34,699.77,68.99,930,52.9032,0.2088
7,801.73,699.77,68.99,861,79.3264,0.1782
7,782.24,669.78,68.99,1059,38.6213,0.1776
9,784.46,669.78,65.24,2164,19.4547,0.1416
7,840.31,679.77,64.54,2674,43.9043,0.175
7,857.29,769.74,64.54,1672,85.2871,0.1767
9,850.63,799.73,65.96,901,85.6826,0.1781
8,838.84,759.75,66.69,669,85.7997,0.1753
8,844.13,799.73,68.2,455,93.8462,0.1742
8,789.18,679.77,68.2,534,52.809,0.2112
9,766.77,679.77,68.2,1375,37.3091,0.1762
7,816.01,689.77,67.44,1767,65.7046,0.1751
8,803.45,659.78,67.44,1442,38.835,0.1778
8,801.73,659.78,68.2,1092,52.4725,0.1782
6,842.37,779.74,67.44,607,91.1038,0.1746
7,843.96,799.73,66.69,602,79.0698,0.1795
9,792.59,689.77,66.69,884,62.1041,0.1802
9,796.88,689.77,65.96,1388,49.2795,0.2868
8,844.87,759.75,65.96,575,51.4783,0.2511
8,832.08,759.75,66.69,1048,49.3321,0.1767
9,826.78,779.74,67.44,758,72.8232,0.1779
7,807.16,709.76,68.2,1051,46.431999999999995,0.2124
7,756.59,629.79,71.45,1343,32.1668,0.1391
8,763.53,629.79,68.99,1097,66.2716,0.1416
9,809.73,719.76,68.2,959,68.7174,0.1453
8,840.02,759.75,66.69,666,89.7898,0.1804
7,864.71,759.75,63.85,829,88.0579,0.1807
7,873.35,819.73,63.85,551,90.7441,0.1735
8,834.43,719.76,66.69,791,66.6245,0.2115
8,804.59,719.76,68.99,774,45.3488,0.2486
8,819.44,729.76,68.99,859,61.5832,0.1743
8,831.19,749.75,67.44,702,53.1339,0.1769
8,844.87,789.74,67.44,478,59.6234,0.1793
6,852.14,779.74,65.24,391,65.4731,0.2134
7,864.56,779.74,65.24,371,64.69,0.2103
7,870.96,799.73,64.54,461,65.2928,0.2153
7,874.08,799.73,62.52,1106,60.1266,0.1788
7,894.08,819.73,62.52,839,56.1383,0.1748
8,872.74,799.73,63.18,685,48.3212,0.2083
7,856.08,799.73,65.96,417,53.9568,0.2478
7,848.2,689.77,65.24,1419,34.4609,0.1786
7,777.52,679.77,67.44,698,38.9685,0.2501
7,802.59,679.77,66.69,1128,72.2518,0.17800000000000002
8,806.3,669.78,66.69,1379,47.7883,0.1772
7,804.59,669.78,67.44,1213,45.5894,0.2131
6,847.07,769.74,65.24,844,54.0284,0.2083
7,870.01,789.74,63.18,867,59.5156,0.1742
7,873.77,759.75,63.18,791,47.7876,0.1788
8,861.28,759.75,64.54,1053,41.4055,0.2177
7,875.65,799.73,64.54,709,62.6234,0.1784
7,866.07,709.76,63.18,1722,19.9768,0.2099
8,832.37,709.76,63.18,1433,48.5694,0.2473
8,830.02,739.75,64.54,1257,75.6563,0.1772
7,824.14,769.74,66.69,730,78.3562,0.2141
7,832.96,769.74,65.96,785,81.7834,0.1766
7,837.3,779.74,65.96,747,57.6975,0.2172
8,825.31,719.76,64.54,1550,31.1613,0.1782
8,818.87,679.77,64.54,2256,27.4379,0.2094
8,824.58,679.77,63.85,2673,31.575,0.1733
7,867.89,679.77,63.18,1802,46.3929,0.2095
7,857.53,739.75,64.54,558,44.086000000000006,0.2187
7,852.44,739.75,63.18,1119,70.7775,0.1777
7,865.77,789.74,63.18,879,45.0512,0.175
8,885.02,789.74,63.85,802,28.3042,0.2119
8,851.53,749.75,64.54,596,60.906000000000006,0.1423
9,811.73,669.78,65.96,1945,23.5476,0.1408
6,842.37,669.78,65.96,1969,26.7649,0.1397
7,874.08,799.73,65.24,381,89.5013,0.14300000000000002
8,877.83,789.74,64.54,433,74.1339,0.17800000000000002
8,860.32,789.74,64.54,585,83.0769,0.2113
8,867.29,779.74,63.18,734,69.7548,0.2096
8,894.86,779.74,61.24,766,58.093999999999994,0.2163
7,900.34,839.72,61.24,439,84.9658,0.215
8,798.34,639.79,65.96,1487,39.341,0.2088
8,701.72,609.8,70.61,1210,32.3967,0.2086
7,734.23,609.8,68.2,1262,44.9287,0.2151
9,809.16,689.77,67.44,1509,37.2432,0.1412
6,849.41,699.77,63.85,1413,36.6596,0.1784
6,891.96,809.73,62.52,613,84.1762,0.1808
7,900.99,809.73,61.24,627,52.1531,0.179
7,907.76,839.72,61.24,596,63.9262,0.1777
7,885.19,769.74,60.63,1479,35.9026,0.2187
6,904.39,769.74,60.02,1301,53.651,0.2073
7,905.5,779.74,60.02,1249,61.8895,0.2138
6,910.66,829.72,61.24,722,52.9086,0.2125
7,880.96,769.74,61.24,1161,35.5728,0.2128
8,815.9,709.76,64.54,1048,79.1031,0.2163
7,835.02,709.76,63.18,1401,55.3176,0.1761
8,841.48,699.77,63.18,1637,36.7746,0.1398
7,862.84,699.77,61.88,2392,49.2475,0.1811
8,911.95,779.74,59.43,1479,61.4604,0.1769
7,913.57,779.74,59.43,938,71.2154,0.1766
9,852.14,639.79,61.24,3485,27.976999999999997,0.1422
8,813.16,639.79,63.18,1407,29.2111,0.24600000000000002
8,866.07,779.74,63.18,897,63.2107,0.2099
8,860.62,769.74,63.18,906,53.532,0.2113
8,807.45,709.76,68.2,973,36.4851,0.2123
7,837.66,709.76,63.18,1248,57.2917,0.2107
6,889.08,819.73,63.18,899,95.4394,0.1757
7,792.24,549.82,55.06,7868,52.8851,0.3506
8,856.99,699.77,55.06,6128,18.4236,0.1414
8,906.47,699.77,53.12,5899,32.1071,0.1423
7,776.96,569.81,53.12,6913,28.8153,0.14300000000000002
9,729.76,569.81,63.18,5271,14.0581,0.1405
9,741.8,319.89,60.63,12465,68.9531,0.1383
8,757.04,319.89,58.84,13505,56.9345,0.1428
8,895.19,729.76,55.06,6663,32.6279,0.2883
8,1001.15,729.76,53.59,4315,49.2468,0.14800000000000002
7,1051.13,939.69,53.59,1232,93.6688,0.2467
5,1027.06,899.7,53.59,1913,84.2133,0.2524
7,934.02,629.79,54.56,4767,60.9608,0.2498
7,920.69,629.79,41.97,10534,87.3552,0.1448
6,915.9,729.76,54.07,2646,64.7014,0.113
8,906.94,719.76,60.02,1497,62.5251,0.1521
9,895.33,659.78,39.49,15324,87.2096,0.1396
10,753.26,389.87,45.13,17317,78.5009,0.1435
9,841.19,539.82,50.86,12729,36.3186,0.2098
7,1030.73,829.72,50.02,4555,51.9868,0.2426
7,1045.42,849.72,48.8,3336,63.1295,0.1472
7,1022.99,849.72,48.8,4309,67.2546,0.1448
8,935.17,679.77,50.86,5351,57.3351,0.138
8,822.96,619.79,50.86,4056,12.3028,0.2144
7,873.46,619.79,55.06,5093,55.5861,0.2147
8,954.85,789.74,49.2,6256,78.6765,0.1445
6,1045.42,819.73,49.2,5260,37.5095,0.184
7,1065.03,949.68,50.86,1582,71.0493,0.1445
7,1025.95,859.71,51.74,3437,30.9281,0.2527
6,1060.02,929.69,50.86,1827,80.5145,0.1398
6,1033.73,879.71,50.86,3309,31.641,0.2508
7,999.31,799.73,48.8,6114,42.2637,0.2502
9,935.35,589.8,38.97,32979,48.5279,0.1426
11,773.8,359.88,38.97,36731,44.0309,0.1397
11,731.29,359.88,47.63,23912,62.4289,0.1403
8,801.5,579.81,63.18,3953,24.4877,0.1835
7,927.69,789.74,57.16,1825,55.8904,0.2875
7,982.43,829.72,53.12,2937,37.998000000000005,0.1404
6,1005.74,909.7,51.74,3178,41.0321,0.2486
7,1005.38,909.7,51.74,4177,68.4463,0.2487
6,1005.02,869.71,53.12,2476,75.6058,0.2843
7,965.2,859.71,54.07,2118,81.1143,0.2858
7,929.36,749.75,49.2,6187,68.8702,0.2511
6,935.69,749.75,49.2,6977,45.5927,0.2494
7,891.7,429.86,43.81,2808,84.9715,0.1869
10,791.79,429.86,43.81,30677,64.7717,0.26
10,723.6,469.84,46.89,13267,81.1939,0.3189
8,789.46,469.84,58.84,3700,46.5676,0.1759
6,910.02,819.73,54.56,2573,71.3953,0.2127
7,607.24,549.82,89.58,478,30.1255,0.1752
9,598.52,549.82,95.27,325,32.9231,0.1422
8,625.01,549.82,84.54,773,23.9327,0.2087
9,644.9,579.81,84.54,524,54.0076,0.2068
9,630.23,569.81,88.26,556,29.4964,0.141
11,646.15,569.81,81.11,1072,14.7388,0.1407
11,641.79,569.81,83.36,417,42.9257,0.1385
9,614.9,549.82,85.74,729,16.8724,0.1384
8,601.26,539.82,85.74,1427,12.9643,0.1733
10,602.09,539.82,86.99,906,13.7969,0.17300000000000001
8,599.59,539.82,81.11,1074,7.7281,0.139
8,615.54,539.82,81.11,1296,6.1728,0.242
9,619.36,559.81,88.26,777,16.9884,0.1755
8,619.79,569.81,81.11,615,31.3821,0.1403
9,630.88,569.81,81.11,645,17.9845,0.2412
9,632.01,569.81,89.58,239,19.6653,0.1406
7,624.57,549.82,88.26,350,49.1429,0.2436
8,600.86,549.82,88.26,335,41.193999999999996,0.1771
9,577.21,539.82,96.81,243,43.2099,0.1386
9,575.41,539.82,95.27,311,49.8392,0.139
8,618.92,539.82,50.44,5609,74.5409,0.1405
10,669.78,429.86,50.44,7404,77.6202,0.3199
9,638.68,429.86,60.63,1870,84.7594,0.3132
8,611.75,579.81,88.26,274,47.0803,0.1777
10,601.93,549.82,93.78,215,67.4419,0.1414
11,588.97,549.82,93.78,268,42.5373,0.1415
11,578.17,539.82,93.78,137,43.7956,0.2118
10,593.55,539.82,89.58,429,22.3776,0.2457
8,585.32,549.82,89.58,544,45.7721,0.1395
8,663.27,549.82,54.56,8208,38.7427,0.1403
9,1017.44,909.7,54.07,1535,36.7427,0.2912
8,989.31,889.7,54.56,881,68.2179,0.3249
8,1015.38,889.7,54.56,867,89.15799999999999,0.2814
9,1038.17,979.67,54.56,712,83.1461,0.3211
8,1031.88,929.69,52.19,1346,42.422,0.2872
7,1028.18,919.69,52.19,1689,60.1539,0.2882
5,990.74,909.7,55.06,1192,77.6846,0.2884
7,952.1,769.74,55.06,2080,42.9808,0.2898
7,798.88,659.78,58.27,3074,17.9896,0.1788
9,811.44,659.78,60.02,1081,41.6281,0.1408
7,991.1,869.71,52.19,1592,47.1734,0.2883
7,1060.8,949.68,52.19,2660,53.4962,0.2538
8,1044.84,939.69,52.65,1562,73.5595,0.2481
8,1002.88,879.71,54.56,2728,26.0997,0.3205
8,1015.02,879.71,54.56,2103,23.0147,0.2815
8,1024.47,929.69,54.56,1283,54.8714,0.3254
7,1025.58,929.69,51.74,1347,61.8411,0.2889
6,1032.35,939.69,55.57,569,42.8822,0.3353
7,1029.29,949.68,55.06,710,74.2254,0.3239
7,1011.81,939.69,55.06,1308,90.4434,0.3177
7,1022.16,939.69,54.56,962,85.8628,0.3145
7,1019.66,919.69,54.56,921,82.9533,0.3152
8,1037.73,919.69,50.86,1911,57.7708,0.2965
8,1071.18,959.68,52.65,1839,82.1642,0.1795
8,1039.28,919.69,52.65,2050,68.6829,0.1782
7,1021.8,919.69,53.59,1820,88.4066,0.2796
5,986.34,729.76,53.59,2493,90.4533,0.3004
10,982.67,639.79,39.75,24259,62.3727,0.1018
8,1027.75,779.74,39.75,41453,58.0802,0.139
6,1020.73,909.7,54.56,1616,66.0272,0.2799
